"raw","name","norm","elevation"
"Havran 2152","Havran","havran","2152"
"Svišťový štít 2382","Svišťový štít","svistovy stit","2382"
"Mlynár 2170","Mlynár","mlynar","2170"
"Wielki Mięguszowiecki Szczyt 2438","Wielki Mięguszowiecki Szczyt","wielki mieguszowiecki szczyt","2438"
"Končistá 2537","Končistá","koncista","2537"
"Rovienky glacier","Rovienky glacier","rovienky glacier",
"Kačacia dolina glacier","Kačacia dolina glacier","kacacia dolina glacier",
"Poľský hrebeň 2200","Poľský hrebeň","polsky hreben","2200"
"Wielki Wołoszyn 2155","Wielki Wołoszyn","wielki wo oszyn","2155"
"Gorc 1228","Gorc","gorc","1228"
"Prostredný hrot 2441","Prostredný hrot","prostredny hrot","2441"
"Bradavica 2476","Bradavica","bradavica","2476"
"Svišťový štít 2382","Svišťový štít","svistovy stit","2382"
